corpus,video_id,category,tier,gt,visual_fidelity,completeness,informativeness,overall,raw_text
external,Xdz1cxEjLYc_000007_000017,Food & Cooking,tier2_vatex_long,2,55.0,35.0,30.0,40.0,
external,Xdz1cxEjLYc_000007_000017,Food & Cooking,tier3_va11y,3,72.0,68.0,66.0,69.0,
external,HpRmj5ce32c_000001_000011,Sports,tier0_cross,0,0.0,0.0,0.0,0.0,
external,HpRmj5ce32c_000001_000011,Sports,tier1_vatex_short,1,85.0,45.0,50.0,60.0,
external,HpRmj5ce32c_000001_000011,Sports,tier2_vatex_long,2,42.0,48.0,50.0,45.0,
external,HpRmj5ce32c_000001_000011,Sports,tier3_va11y,3,64.0,50.0,48.0,54.0,
external,dlBeUWrse3I_000019_000029,How-to & Instructional,tier0_cross,0,0.0,0.0,0.0,0.0,
external,dlBeUWrse3I_000019_000029,How-to & Instructional,tier1_vatex_short,1,55.0,30.0,25.0,40.0,
external,dlBeUWrse3I_000019_000029,How-to & Instructional,tier2_vatex_long,2,25.0,20.0,16.0,20.0,
external,dlBeUWrse3I_000019_000029,How-to & Instructional,tier3_va11y,3,56.0,68.0,66.0,60.0,
external,yBO8rAMeqjc_000007_000017,"Education, Seminar & Talks",tier0_cross,0,0.0,0.0,0.0,0.0,
external,yBO8rAMeqjc_000007_000017,"Education, Seminar & Talks",tier1_vatex_short,1,45.0,30.0,35.0,40.0,
external,yBO8rAMeqjc_000007_000017,"Education, Seminar & Talks",tier2_vatex_long,2,55.0,45.0,40.0,47.0,
external,yBO8rAMeqjc_000007_000017,"Education, Seminar & Talks",tier3_va11y,3,70.0,60.0,64.0,66.0,
external,c_gQ9CSaZY4_000000_000010,How-to & Instructional,tier0_cross,0,0.0,0.0,0.0,0.0,
external,c_gQ9CSaZY4_000000_000010,How-to & Instructional,tier1_vatex_short,1,88.0,28.0,30.0,42.0,
external,c_gQ9CSaZY4_000000_000010,How-to & Instructional,tier2_vatex_long,2,62.0,35.0,32.0,47.0,
external,c_gQ9CSaZY4_000000_000010,How-to & Instructional,tier3_va11y,3,72.0,58.0,55.0,62.0,
external,1HUWWCLza0w_000000_000010,Sports,tier0_cross,0,0.0,0.0,0.0,0.0,
external,1HUWWCLza0w_000000_000010,Sports,tier1_vatex_short,1,22.0,35.0,25.0,27.0,
external,1HUWWCLza0w_000000_000010,Sports,tier2_vatex_long,2,30.0,35.0,40.0,34.0,
external,1HUWWCLza0w_000000_000010,Sports,tier3_va11y,3,30.0,38.0,35.0,34.0,
external,Bss3WwpDdS8_000041_000051,People & Vlogs,tier0_cross,0,0.0,0.0,0.0,0.0,
external,Bss3WwpDdS8_000041_000051,People & Vlogs,tier1_vatex_short,1,25.0,20.0,18.0,22.0,
external,Bss3WwpDdS8_000041_000051,People & Vlogs,tier2_vatex_long,2,35.0,28.0,30.0,31.0,
external,Bss3WwpDdS8_000041_000051,People & Vlogs,tier3_va11y,3,44.0,40.0,38.0,41.0,
external,rGQ64NXktF8_000006_000016,People & Vlogs,tier0_cross,0,0.0,0.0,0.0,0.0,
external,rGQ64NXktF8_000006_000016,People & Vlogs,tier1_vatex_short,1,35.0,25.0,20.0,28.0,
external,rGQ64NXktF8_000006_000016,People & Vlogs,tier2_vatex_long,2,62.0,42.0,48.0,53.0,
external,rGQ64NXktF8_000006_000016,People & Vlogs,tier3_va11y,3,82.0,72.0,75.0,78.0,
external,jeweRSnAJeo_000050_000060,Film & Animation,tier0_cross,0,0.0,0.0,0.0,0.0,
external,jeweRSnAJeo_000050_000060,Film & Animation,tier1_vatex_short,1,90.0,55.0,60.0,70.0,
external,jeweRSnAJeo_000050_000060,Film & Animation,tier2_vatex_long,2,58.0,52.0,50.0,54.0,
external,jeweRSnAJeo_000050_000060,Film & Animation,tier3_va11y,3,84.0,72.0,73.0,78.0,
external,crjesEwF0Ks_000197_000207,How-to & Instructional,tier0_cross,0,0.0,0.0,0.0,0.0,
external,crjesEwF0Ks_000197_000207,How-to & Instructional,tier1_vatex_short,1,90.0,45.0,40.0,58.0,
external,crjesEwF0Ks_000197_000207,How-to & Instructional,tier2_vatex_long,2,60.0,58.0,50.0,56.0,
external,crjesEwF0Ks_000197_000207,How-to & Instructional,tier3_va11y,3,83.0,85.0,82.0,83.0,
external,iZP6gjlr_nM_000113_000123,How-to & Instructional,tier0_cross,0,0.0,0.0,0.0,0.0,
external,iZP6gjlr_nM_000113_000123,How-to & Instructional,tier1_vatex_short,1,20.0,15.0,18.0,18.0,
external,iZP6gjlr_nM_000113_000123,How-to & Instructional,tier2_vatex_long,2,18.0,22.0,20.0,19.0,
external,iZP6gjlr_nM_000113_000123,How-to & Instructional,tier3_va11y,3,12.0,25.0,18.0,18.0,
external,9eBhetL8n5Q_000222_000232,People & Vlogs,tier0_cross,0,0.0,0.0,0.0,0.0,
external,9eBhetL8n5Q_000222_000232,People & Vlogs,tier1_vatex_short,1,84.0,58.0,60.0,67.0,
external,9eBhetL8n5Q_000222_000232,People & Vlogs,tier2_vatex_long,2,52.0,30.0,35.0,40.0,
external,9eBhetL8n5Q_000222_000232,People & Vlogs,tier3_va11y,3,74.0,66.0,69.0,70.0,
external,zTJ0Zbv1jBo_000045_000055,Health & Wellness,tier0_cross,0,0.0,0.0,0.0,0.0,
external,zTJ0Zbv1jBo_000045_000055,Health & Wellness,tier1_vatex_short,1,58.0,42.0,45.0,49.0,
external,zTJ0Zbv1jBo_000045_000055,Health & Wellness,tier2_vatex_long,2,60.0,35.0,38.0,46.0,
external,zTJ0Zbv1jBo_000045_000055,Health & Wellness,tier3_va11y,3,92.0,80.0,83.0,86.0,
external,h8wsO9A9v_c_000016_000026,People & Vlogs,tier0_cross,0,0.0,0.0,0.0,0.0,
external,h8wsO9A9v_c_000016_000026,People & Vlogs,tier1_vatex_short,1,35.0,30.0,28.0,31.0,
external,h8wsO9A9v_c_000016_000026,People & Vlogs,tier2_vatex_long,2,92.0,70.0,70.0,80.0,
external,h8wsO9A9v_c_000016_000026,People & Vlogs,tier3_va11y,3,90.0,82.0,84.0,86.0,
external,iGmGQxox43I_000000_000010,How-to & Instructional,tier0_cross,0,0.0,0.0,0.0,0.0,
external,iGmGQxox43I_000000_000010,How-to & Instructional,tier1_vatex_short,1,62.0,45.0,48.0,52.0,
external,iGmGQxox43I_000000_000010,How-to & Instructional,tier2_vatex_long,2,62.0,42.0,45.0,50.0,
external,iGmGQxox43I_000000_000010,How-to & Instructional,tier3_va11y,3,48.0,55.0,52.0,50.0,
