source,video_id,q_idx,question_type,is_scene_model_question,question
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,B0EKYDSv_yQ_000002_000012,3,spatial_relation,1,What is on the counter next to the skillet?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,B0EKYDSv_yQ_000002_000012,4,action_relation,1,What utensil is the child using to cook?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,PbGvLf7HvXQ_000063_000073,0,action_relation,1,What is the main subject doing?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,PbGvLf7HvXQ_000063_000073,1,other,0,What type of container holds the greens?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,PbGvLf7HvXQ_000063_000073,2,other,0,What is the primary ingredient being prepared?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,PbGvLf7HvXQ_000063_000073,3,count,1,How many hands are visible performing the action?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,PbGvLf7HvXQ_000063_000073,4,object_attr,0,What is visible on the work surface to the right?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,0HEi6q3bGaw_000011_000021,0,who_role,1,What winter sport activity is the person in the center engaged in?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,0HEi6q3bGaw_000011_000021,1,spatial_relation,1,What is the terrain like where the snowmobiler is riding?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,0HEi6q3bGaw_000011_000021,2,object_attr,0,What other snowmobiles are visible in the frames?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,0HEi6q3bGaw_000011_000021,3,other,0,What is the weather and lighting condition during this snowmobiling activity?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,0HEi6q3bGaw_000011_000021,4,other,0,What perspective are these video frames shot from?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,09dQut5GJ68_000049_000059,0,action_relation,1,What is the main subject doing in these frames?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,09dQut5GJ68_000049_000059,1,object_attr,0,What type of environment or setting is shown?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,09dQut5GJ68_000049_000059,2,who_role,1,What equipment or objects are visible with the person?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,09dQut5GJ68_000049_000059,3,count,1,How many people are visible in these frames?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,09dQut5GJ68_000049_000059,4,object_attr,0,What is the weather condition visible in the frames?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,hOirknJr3os_000001_000011,0,object_attr,0,What type of facility or venue is shown in the middle frames?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,hOirknJr3os_000001_000011,1,object_attr,0,What animals are visible in the pasture scenes?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,hOirknJr3os_000001_000011,2,object_attr,0,What does the entrance sign display?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,hOirknJr3os_000001_000011,3,object_attr,0,What is visible in the wooded area scenes?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,hOirknJr3os_000001_000011,4,other,0,What logo appears consistently throughout the video?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,TF4q9y0rJoc_000000_000010,0,who_role,1,What sport is the person participating in?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,TF4q9y0rJoc_000000_000010,1,other,0,What time of day is this activity taking place?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,TF4q9y0rJoc_000000_000010,2,object_attr,0,What markers are visible on the ski slope?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,TF4q9y0rJoc_000000_000010,3,other,0,What is the surface condition of the slope?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,TF4q9y0rJoc_000000_000010,4,object_attr,0,What is the skier wearing?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,z8Q-s8AthrA_000002_000012,0,who_role,1,What is the young person in the yellow shirt doing in these video clips?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,z8Q-s8AthrA_000002_000012,1,spatial_relation,1,What type of athletic facility is shown in the background?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,z8Q-s8AthrA_000002_000012,2,object_attr,0,What equipment is visible on the track field?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,z8Q-s8AthrA_000002_000012,3,other,0,What is the time of day when this training occurs?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,z8Q-s8AthrA_000002_000012,4,spatial_relation,1,What visible text or signage appears in the stadium background?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,abaLFY_GI8k_000295_000305,0,other,0,What sport or activity are the people playing?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,abaLFY_GI8k_000295_000305,1,other,0,What type of surface is the playing area made of?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,abaLFY_GI8k_000295_000305,2,object_attr,0,What structures or barriers are visible around the playing area?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,abaLFY_GI8k_000295_000305,3,count,1,How many players are actively visible on the court?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,abaLFY_GI8k_000295_000305,4,other,0,What natural features are present in the setting?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,KFcH6BYZWhc_000011_000021,0,other,0,What sport is being played in this video?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,KFcH6BYZWhc_000011_000021,1,object_attr,0,What is the primary setting or location shown?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,KFcH6BYZWhc_000011_000021,2,other,0,What equipment do the players have in their hands?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,KFcH6BYZWhc_000011_000021,3,count,1,How many teams appear to be playing?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,KFcH6BYZWhc_000011_000021,4,object_attr,0,What is the small object players are trying to control?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,UDD6YcChywc_000000_000010,0,other,0,What sport is being played in this video?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,UDD6YcChywc_000000_000010,1,action_relation,1,What is the player doing in the first frames?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,UDD6YcChywc_000000_000010,2,spatial_relation,1,Where is this curling match taking place?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,UDD6YcChywc_000000_000010,3,action_relation,1,What happens to the player after releasing the stone?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,UDD6YcChywc_000000_000010,4,count,1,How many other people are visible on the rink during the play?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,OGWuj_FtaQc_000010_000020,0,action_relation,1,What is the main subject doing in these frames?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,OGWuj_FtaQc_000010_000020,1,object_attr,0,What type of setting or location is shown?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,OGWuj_FtaQc_000010_000020,2,who_role,1,What is the man wearing on his upper body?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,OGWuj_FtaQc_000010_000020,3,object_attr,0,What key objects are visible in the immediate area?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,OGWuj_FtaQc_000010_000020,4,spatial_relation,1,What is visible on the fence in the background?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,kOf-vl-GmVI_000115_000125,0,action_relation,1,What is the main subject doing in these frames?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,kOf-vl-GmVI_000115_000125,1,object_attr,0,What type of setting or location is shown?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,kOf-vl-GmVI_000115_000125,2,object_attr,0,What color is the horse in the frames?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,kOf-vl-GmVI_000115_000125,3,who_role,1,What is the person wearing on their head?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,kOf-vl-GmVI_000115_000125,4,object_attr,0,What key object is used to contain or control the horse?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,gjoZic4WjiQ_000012_000022,0,other,0,What is the main activity taking place in these video frames?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,gjoZic4WjiQ_000012_000022,1,spatial_relation,1,What is the setting or location where this activity occurs?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,gjoZic4WjiQ_000012_000022,2,other,0,What equipment or structure is used for the main activity?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,gjoZic4WjiQ_000012_000022,3,count,1,How many people are visible participating in the activity?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,gjoZic4WjiQ_000012_000022,4,who_role,1,What is the person sliding wearing on their head?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,q2ZBVyR1k-U_000021_000031,0,who_role,1,What is the person wearing on their head and upper body?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,q2ZBVyR1k-U_000021_000031,1,object_attr,0,What is the primary activity shown in these video frames?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,q2ZBVyR1k-U_000021_000031,2,spatial_relation,1,What type of environment or setting is visible in the background?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,q2ZBVyR1k-U_000021_000031,3,who_role,1,What is the cylindrical object the person is holding or displaying?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,q2ZBVyR1k-U_000021_000031,4,count,1,How many people are visible in these frames?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,qIWQHyOIpEY_000003_000013,0,object_attr,0,What animals are visible in this video clip?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,qIWQHyOIpEY_000003_000013,1,action_relation,1,What is the primary action occurring in this scene?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,qIWQHyOIpEY_000003_000013,2,spatial_relation,1,Where does this scene take place?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,qIWQHyOIpEY_000003_000013,3,spatial_relation,1,What furniture or structural elements are visible in the background?
output\scenetwin_timing_20clip\adqa_q-claude-haiku-4-5_g-gpt-4o\questions.csv,qIWQHyOIpEY_000003_000013,4,count,1,How many cats appear to be present in this scene?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,Q76JRCyTnSc_000007_000017,0,action_relation,1,What is the main subject doing?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,Q76JRCyTnSc_000007_000017,1,spatial_relation,1,Where is the setting of the scene?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,Q76JRCyTnSc_000007_000017,2,action_relation,1,What key object is the subject holding?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,Q76JRCyTnSc_000007_000017,3,object_attr,0,What is visible on the board?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,Q76JRCyTnSc_000007_000017,4,other,0,What is the subject's reaction after throwing the knife?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,058y9xGmmTQ_000206_000216,0,action_relation,1,What is the main subject doing?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,058y9xGmmTQ_000206_000216,1,other,0,What is the setting or location?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,058y9xGmmTQ_000206_000216,2,action_relation,1,What key object is the subject holding?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,058y9xGmmTQ_000206_000216,3,object_attr,0,What text is visible on the tray?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,058y9xGmmTQ_000206_000216,4,object_attr,0,What is the subject wearing?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,vLGOZvJ_v4Q_000285_000295,0,action_relation,1,What is the main subject doing?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,vLGOZvJ_v4Q_000285_000295,1,spatial_relation,1,What kitchen appliance is visible in the background?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,vLGOZvJ_v4Q_000285_000295,2,spatial_relation,1,What ingredient is visible next to the stove?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,vLGOZvJ_v4Q_000285_000295,3,object_attr,0,What brand of salt is visible on the counter?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,vLGOZvJ_v4Q_000285_000295,4,other,0,What is the main ingredient in the pan?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,B0EKYDSv_yQ_000002_000012,0,action_relation,1,What is the main subject doing?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,B0EKYDSv_yQ_000002_000012,1,spatial_relation,1,What kitchen appliance is visible in the background?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,B0EKYDSv_yQ_000002_000012,2,object_attr,0,What is the main subject wearing?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,B0EKYDSv_yQ_000002_000012,3,spatial_relation,1,What is on the counter next to the stove?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,B0EKYDSv_yQ_000002_000012,4,other,0,What is the main subject's expression?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,PbGvLf7HvXQ_000063_000073,0,action_relation,1,What is the main subject doing?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,PbGvLf7HvXQ_000063_000073,1,object_attr,0,What is the main object being used?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,PbGvLf7HvXQ_000063_000073,2,other,0,What is on the cutting board?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,PbGvLf7HvXQ_000063_000073,3,count,1,How many hands are involved in the action?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,PbGvLf7HvXQ_000063_000073,4,other,0,What type of leaves are being mixed?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,0HEi6q3bGaw_000011_000021,0,action_relation,1,What is the main subject doing?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,0HEi6q3bGaw_000011_000021,1,object_attr,0,What type of terrain is visible?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,0HEi6q3bGaw_000011_000021,2,other,0,What is the setting of the scene?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,0HEi6q3bGaw_000011_000021,3,object_attr,0,What key objects are visible besides the snowmobile?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,0HEi6q3bGaw_000011_000021,4,object_attr,0,What text is visible on the snowmobile?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,09dQut5GJ68_000049_000059,0,action_relation,1,What is the main subject doing?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,09dQut5GJ68_000049_000059,1,other,0,What is the setting of the scene?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,09dQut5GJ68_000049_000059,2,object_attr,0,What key object is visible in the frames?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,09dQut5GJ68_000049_000059,3,object_attr,0,What is the main subject wearing?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,09dQut5GJ68_000049_000059,4,object_attr,0,Is there any visible text on screen?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,hOirknJr3os_000001_000011,0,other,0,What animals are prominently featured in the frames?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,hOirknJr3os_000001_000011,1,other,0,What is the setting of the video?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,hOirknJr3os_000001_000011,2,object_attr,0,What text is visible on the sign in the first frame?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,hOirknJr3os_000001_000011,3,object_attr,0,What flags are visible in the frames?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,hOirknJr3os_000001_000011,4,other,0,What activity are the horses engaged in?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,TF4q9y0rJoc_000000_000010,0,action_relation,1,What is the main subject doing?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,TF4q9y0rJoc_000000_000010,1,other,0,What is the setting of the scene?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,TF4q9y0rJoc_000000_000010,2,action_relation,1,What equipment is the main subject using?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,TF4q9y0rJoc_000000_000010,3,spatial_relation,1,What is visible in the background?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,TF4q9y0rJoc_000000_000010,4,object_attr,0,What is the main subject wearing?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,z8Q-s8AthrA_000002_000012,0,action_relation,1,What is the main subject doing?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,z8Q-s8AthrA_000002_000012,1,spatial_relation,1,Where is the scene taking place?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,z8Q-s8AthrA_000002_000012,2,action_relation,1,What key object is involved in the action?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,z8Q-s8AthrA_000002_000012,3,spatial_relation,1,What is visible in the background?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,z8Q-s8AthrA_000002_000012,4,object_attr,0,What is the main subject wearing?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,abaLFY_GI8k_000295_000305,0,other,0,What activity are the people engaged in?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,abaLFY_GI8k_000295_000305,1,other,0,What is the setting of the activity?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,abaLFY_GI8k_000295_000305,2,object_attr,0,What key object is used in the activity?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,abaLFY_GI8k_000295_000305,3,count,1,How many people are visible in the frames?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,abaLFY_GI8k_000295_000305,4,spatial_relation,1,What is visible in the background?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,KFcH6BYZWhc_000011_000021,0,other,0,What activity is taking place in the images?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,KFcH6BYZWhc_000011_000021,1,action_relation,1,What is the main action happening in the images?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,KFcH6BYZWhc_000011_000021,2,other,0,What is the setting of the images?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,KFcH6BYZWhc_000011_000021,3,object_attr,0,What key objects are visible in the images?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,KFcH6BYZWhc_000011_000021,4,object_attr,0,What on-screen text is visible in the images?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,UDD6YcChywc_000000_000010,0,action_relation,1,What is the main subject doing?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,UDD6YcChywc_000000_000010,1,other,0,What is the setting of the activity?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,UDD6YcChywc_000000_000010,2,action_relation,1,What happens to the main subject after sliding the stone?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,UDD6YcChywc_000000_000010,3,object_attr,0,What key object is involved in the activity?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,UDD6YcChywc_000000_000010,4,count,1,How many people are visible in the frames?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,OGWuj_FtaQc_000010_000020,0,action_relation,1,What is the main subject doing?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,OGWuj_FtaQc_000010_000020,1,object_attr,0,What type of fence is visible?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,OGWuj_FtaQc_000010_000020,2,other,0,What is the setting of the scene?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,OGWuj_FtaQc_000010_000020,3,object_attr,0,What is the main subject wearing?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,OGWuj_FtaQc_000010_000020,4,object_attr,0,What text is visible on signs?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,kOf-vl-GmVI_000115_000125,0,action_relation,1,What is the main subject doing?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,kOf-vl-GmVI_000115_000125,1,object_attr,0,What type of setting is shown?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,kOf-vl-GmVI_000115_000125,2,action_relation,1,What is the main object involved in the action?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,kOf-vl-GmVI_000115_000125,3,object_attr,0,What is the main subject wearing?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,kOf-vl-GmVI_000115_000125,4,spatial_relation,1,What is visible in the background?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,gjoZic4WjiQ_000012_000022,0,action_relation,1,What is the main subject doing?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,gjoZic4WjiQ_000012_000022,1,other,0,What is the setting of the scene?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,gjoZic4WjiQ_000012_000022,2,object_attr,0,What key object is prominently featured?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,gjoZic4WjiQ_000012_000022,3,count,1,How many people are visible in the frames?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,gjoZic4WjiQ_000012_000022,4,object_attr,0,What type of clothing is the main subject wearing?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,q2ZBVyR1k-U_000021_000031,0,action_relation,1,What is the main subject doing?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,q2ZBVyR1k-U_000021_000031,1,other,0,What is the setting of the video?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,q2ZBVyR1k-U_000021_000031,2,who_role,1,What is the second person doing?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,q2ZBVyR1k-U_000021_000031,3,who_role,1,What key object is the second person holding?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,q2ZBVyR1k-U_000021_000031,4,object_attr,0,What is visible on the vehicle's window?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,qIWQHyOIpEY_000003_000013,0,action_relation,1,What are the two animals doing?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,qIWQHyOIpEY_000003_000013,1,other,0,What is the setting of the scene?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,qIWQHyOIpEY_000003_000013,2,object_attr,0,What furniture is visible in the scene?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,qIWQHyOIpEY_000003_000013,3,count,1,How many animals are visible in the frames?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-claude-haiku-4-5\questions.csv,qIWQHyOIpEY_000003_000013,4,spatial_relation,1,What is the position of the third animal?
output\scenetwin_timing_20clip\adqa_q-gpt-4o_g-gpt-4o\questions.csv,Q76JRCyTnSc_000007_000017,0,action_relation,1,What is the main subject doing?
